code,from,to
301,^.*\/(\d+)-(.*)(\.html)(\?.*)?$,/p-$2
301,^\/2-home\/page\/(.*)?$,/
301,^\/offerte\/page\/(.*)?$,/promozioni
301,^\/3890-prodotti-scontati-fino-al-50\/page\/(.*)?$,/promozioni/special/top-sconti
301,^\/piu-venduti\/page\/(.*)?$,/piu-acquistati/page/$1
301,^\/3367-stomaco-e-intestino\/page\/(.*)?$,/c-lassativi-per-stipsi-e-stitichezza-141/page/$1
301,^\/3393-corpo-igiene-e-cura\/page\/(.*)?$,/c-igiene-265/page/$1
301,^\/3361-personal-care\/page\/(.*)?$,/c-cura-benessere-244/page/$1
301,^\/3370-solari\/page\/(.*)?$,/c-protezioni-solari-e-abbronzanti-3/page/$1
301,^\/3482-integratori-ritenzione-idrica\/page\/(.*)?$,/c-integratori-per-la-ritenzione-idrica-197/page/$1
301,^\/3555-spazzolini\/page\/(.*)?$,/c-spazzolini-290/page/$1
301,^\/3363-igiene-e-bellezza-del-viso\/page\/(.*)?$,/c-detergenti-e-struccanti-viso-50/page/$1
301,^\/([0-9]*)-integratori\/page\/(.*)?$,/c-integratori-167/page/$2
301,^.*brand\/([0-9]+)-?(.*?)\??(\?.*)?$,/b-$2
301,^.*blog\/categoria\/(.*?)(\?.*)?$,/top-magazine/tutti-i-post/$1
301,^.*blog\/(?!categoria\/)([^?]*)(\?.*)?$,/top-magazine/tutti-i-post/$1
301,^\/c-probioticifermenti-lattici-232(\?.*)?$,/c-probiotici-e-fermenti-lattici-232
301,/blog,/top-magazine
301,/wiki,/enciclopedia
301,/page/529-settimana-black-friday-top-farmacia.html,/promozioni/interne/black-friday
301,/page/729-promo-bioclin-canottieri-olona.html,/promozioni
301,/page/730-promo-bioclin-virgin-active.html,/promozioni
301,/page/1-spedizioni.html,/spedizioni
301,/page/2-privacy.html,/privacy
301,/page/3-termini-e-condizioni-di-uso.html,/termini-condizioni
301,/page/4-chi-siamo.html,/chi-siamo
301,/page/5-pagamenti.html,/pagamenti
301,/page/6-faq.html,/domande-frequenti
301,/page/7-informativa-sui-cookie.html,/cookies
301,/page/9-richiedi-un-prodotto.html,/richiedi-prodotto
301,/page/11-promozioni-top-farmacia-online.html,/promozioni
301,/page/38-novita.html,/promozioni
301,/page/96-proteggiamoci-dispositivi-protezione-covid-19.html,/
301,/page/121-prodotti-indispensabili-top-farmacia-online.html,/promozioni/special/prodotti-indispensabili
301,/page/132-top-sconti.html,/promozioni/special/top-sconti
301,/page/474-codici-sconto.html,/sconti
301,/page/532-calendario-avvento-top-farmacia.html,/p-calendario-avvento-2023-top-farmacia
301,/nuovi-prodotti.html,/nuovi-arrivi
301,/orari.html,/contatti
301,/contattaci.html,/contatti
301,/piu-venduti.html,/piu-acquistati
301,/offerte.html,/promozioni
301,/2-home.html,/
301,/3538-alimenti-speciali.html,/c-alimentazione-dietetica-251
301,/3603-alimenti-biologici.html,/c-detox-bio-254
301,/3604-bevande-bio.html,/c-detox-bio-254
301,/3748-cereali-legumi-bio.html,/c-detox-bio-254
301,/3747-condimenti-bio.html,/c-detox-bio-254
301,/3724-dolci-merende-bio.html,/c-detox-bio-254
301,/3738-dolcificanti-e-composte.html,/c-detox-bio-254
301,/3751-pasta-bio.html,/c-detox-bio-254
301,/3539-alimenti-iperproteici.html,/c-iperproteici-255
301,/3668-alimenti-poveri-di-sodio.html,/c-poveri-di-sodio-256
301,/3633-alimenti-senza-glutine.html,/c-celiachia-e-senza-glutine-252
301,/3753-dolci-merende-senza-glutine.html,/c-celiachia-e-senza-glutine-252
301,/3752-pane-e-sostituti-senza-glutine.html,/c-celiachia-e-senza-glutine-252
301,/3634-pasta-senza-glutine.html,/c-celiachia-e-senza-glutine-252
301,/3749-piatti-pronti-senza-glutine.html,/c-celiachia-e-senza-glutine-252
301,/3630-alimenti-senza-zucchero.html,/c-zero-zuccheri-253
301,/3631-edulcoranti.html,/c-zero-zuccheri-253
301,/3359-altro.html,/c-casa-ambiente-337
301,/3549-casa-e-ambiente.html,/c-casa-ambiente-337
301,/3550-profumazione-casa.html,/c-profumi-338
301,/3645-diffusori-e-nebulizzatori-casa.html,/c-diffusori-339
301,/3551-essenze.html,/c-diffusori-339
301,/3622-pulizia-casa.html,/c-casa-ambiente-337
301,/3623-detersione-casa.html,/c-casa-ambiente-337
301,/3635-insetticidi-casa-e-ambiente.html,/c-casa-ambiente-337
301,/3588-diabete.html,/c-glicemia-361
301,/3707-glucometri.html,/c-glicemia-361
301,/3684-lancette-pungidito-.html,/c-glicemia-361
301,/3590-strisce-reattive-glicemia.html,/c-glicemia-361
301,/3646-materie-prime-e-galenica.html,/c-sanitaria-354
301,/3608-sanitaria.html,/c-sanitaria-354
301,/3609-analisi.html,/c-contenitori-campioni-355
301,/3923-contenitori-urine.html,/c-contenitori-urine-356
301,/3611-test.html,/c-prevenzione-auto-test-359
301,/3918-enteroclismi.html,/c-sanitaria-354
301,/3700-degenza.html,/c-pannoloni-358
